open,high,low,close,volume,20_day_SMA,200_day_SMA,consecutive_up,consecutive_down,price_change
172.25999,173.63,170.82001,172.39999,49594600,175.352,166.5094,0,1,-1.35001
171.22,174.3,170.92999,173.75,52164500,176.217,166.36345,3,0,2.53999
172.02,173.07001,170.34,171.21001,51814200,177.0025,166.22205,2,0,0.52001
169.34,172.03,167.62,170.69,56294400,177.8355,166.08845,1,0,0.26001
172.62,173.03999,169.05,170.42999,66921800,178.6835,165.9458,0,2,-1.53002
174.82001,175.2,171.66,171.96001,64588900,179.368,165.8069,0,1,-4.11999
174.2,176.97,174.14999,176.08,46172700,179.7795,165.6518,2,0,1.29001
174.67,177.08,174.05,174.78999,56725400,179.906,165.48595,1,0,0.86
174.55,176.3,173.86,173.92999,63047900,179.9855,165.34515,0,2,-1.56002
179.25999,179.7,175.39999,175.49001,58436200,180.345,165.21455,0,1,-3.58
177.52,179.63,177.13,179.07001,51826900,180.432,165.07865,2,0,1.10001
176.48,179.38,176.17,177.97,67257600,180.2705,164.92345,1,0,2.96001
176.48,176.5,173.82001,175.00999,109205100,180.0965,164.73945,0,1,-0.73002
174.0,176.10001,173.58,175.74001,60895800,180.046,164.5855,1,0,1.53
176.50999,177.3,173.98,174.21001,84267900,180.0875,164.44735,0,2,-2.08999
179.49001,180.13,174.82001,176.3,90370200,180.2495,164.33165,0,1,-3.06
180.07001,180.3,177.34,179.36,58953100,180.4075,164.20105,2,0,1.18001
178.35001,180.24001,177.78999,178.17999,65551300,180.329,164.0443,1,0,0.61999
175.17999,178.21001,173.53999,177.56,112488800,180.3185,163.90985,0,2,-5.35
188.39999,188.85001,181.47,182.91,81755800,180.35,163.77565,0,1,-6.79
188.28,189.98,187.61,189.7,45280000,180.1945,163.60505,7,0,0.23999
189.49001,189.92,188.28,189.46001,45732600,179.652,163.40675,6,0,1.59001
187.84,189.12,187.48,187.87,60794500,179.2785,163.20085,5,0,0.22001
184.94,187.85001,184.74001,187.64999,60813900,179.4435,163.01,4,0,3.52999
179.7,184.89999,179.5,184.12,53003900,179.69,162.8061,3,0,3.93
180.09,180.59,178.55,180.19,43820700,180.2645,162.55985,2,0,1.58
177.38,179.14999,175.82001,178.61,51449600,181.0775,162.3564,1,0,2.23
180.67,181.10001,176.00999,176.38,54945800,181.9385,162.15795,0,1,-4.74
178.52,181.55,178.33,181.12,52722800,182.7805,161.96795,4,0,3.89
177.06,177.67999,176.25,177.23,42084200,183.4495,161.75675,3,0,1.39
175.07001,176.13,173.74001,175.84,46311900,184.269,161.59575,2,0,1.34999
172.3,175.10001,171.96001,174.49001,61114200,185.1145,161.4698,1,0,0.49001
177.14,177.50999,173.48,174.0,66062900,185.987,161.36405,0,3,-2.57001
177.13,178.53999,176.5,176.57001,46964900,186.9435,161.27275,0,2,-0.87999
178.88,179.48,177.05,177.45,43622600,187.87,161.1139,0,1,-2.01001
177.97,179.69,177.31,179.46001,43675600,188.684,160.9734,1,0,1.67002
